SOURCE_NAME,RA_(J2000),DEC_(J2000),JD_OBS,JD_ERROR,YEAR_OBS,TOTAL_FLUX,ERROR_TOTFLUX,PEAK_FLUX,ERROR_PEAKFLUX,DIAMETER,ERROR_DIAMETER,FREQ_OBS,PAPER,RESOLUTION,OBSERVATION_NOTE
41.95+57.5,09 55 50.69,69 40 43.76,2439163.5,18.25,1966.5,550,150,550,150,,,2.7,BASH_1968,,
41.95+57.5,09 55 50.69,69 40 43.76,2440604.5,1.825,1970.05,600,100,600,100,,,1.43,KRONBERG_1975,2''.2 ,
41.95+57.5,09 55 50.69,69 40 43.76,2441173.5,1.825,1971.77,138,20,138,20,,,9.09,"KRONBERG_1975, KRONBERG_1978",2''-3'' ,
41.95+57.5,09 55 50.69,69 40 43.76,2441667.5,1.825,1972.96,550,50,550,50,,,1.67,KRONBERG_1975,2''.2 ,
41.95+57.5,09 55 50.69,69 40 43.76,2441871.5,18.25,1973.6,180,10,180,10,,,5,HARGRAVE_1974,2''-3'' ,
41.95+57.5,09 55 50.69,69 40 43.76,2441974.5,18.25,1973.8,190,20,190,20,,,0.408,KRONBERG_1975,2''.2 ,
41.95+57.5,09 55 50.69,69 40 43.76,2441974.5,18.25,1973.8,530,50,530,50,,,0.962,KRONBERG_1975,2''.2 ,
41.95+57.5,09 55 50.69,69 40 43.76,2442236.5,18.25,1974.6,130,20,130,20,,,7.85,GELDZAGLER_1977,,
41.95+57.5,09 55 50.69,69 40 43.76,2442450.5,18.25,1975.5,118,20,118,20,,,8.09,KRONBERG_1978,"2"". 2 ",
41.95+57.5,09 55 50.69,69 40 43.76,2443581.5,18.25,1978.2,284,24,284,24,,,1.48,KRONBERG_1981,1'' ,
41.95+57.5,09 55 50.69,69 40 43.76,2443581.5,18.25,1978.2,125,15,125,15,,,5,KRONBERG_1981,1'' ,
41.95+57.5,09 55 50.69,69 40 43.76,2443800.5,18.25,1978.8,269,20,289,20,,,1.67,OWEN_1980,,
41.95+57.5,09 55 50.69,69 40 43.76,2443995.5,18.25,1979.1,260,20,260,20,,,0.408,CONWAY_1979,,
41.95+57.5,09 55 50.69,69 40 43.76,2444276.5,182.5,1980,131,5,131,5,,,5,WILKINSON_1980,,
39.1+57.3,09 55 47.88,69 40 43.72,2444726.5,15,1981.1,5.2,0.23,4.3,0.22,,,4.87,KRONBERG_1985,0''.34,
39.3+54.0,09 55 48.06,69 40 40.51,2444726.5,15,1981.1,2.88,0.27,1.58,0.2,,,4.87,KRONBERG_1985,0''.34,
39.4+56.0,09 55 48.17,69 40 42.41,2444726.5,15,1981.1,1.28,0.25,1.28,0.2,,,4.87,KRONBERG_1985,0''.34,
39.7+55.0,09 55 48.45,69 40 41.9,2444726.5,15,1981.1,2.36,0.34,1.52,0.2,,,4.87,KRONBERG_1985,0''.34,
39.7+55.0,09 55 48.45,69 40 41.9,2444726.5,15,1981.1,,,2.75,0.43,,,15,KRONBERG_1985,0''.17,
40.1+55.0,09 55 48.9,69 40 41.27,2444726.5,15,1981.1,,,3.06,0.26,,,15,KRONBERG_1985,0''.17,
40.59+55.8,09 55 49.38,69 40 42.26,2444726.5,15,1981.1,1.92,0.39,1.4,0.2,,,4.87,KRONBERG_1985,0''.34,
40.67+55.1,09 55 49.44,69 40 41.26,2444726.5,15,1981.1,8.49,0.34,7.39,0.25,,,4.87,KRONBERG_1985,0''.34,
40.67+55.1,09 55 49.44,69 40 41.26,2444726.5,15,1981.1,,,3.97,0.35,,,15,KRONBERG_1985,0''.17,
41.0+58.0,09 55 49.71,69 40 45.05,2444726.5,15,1981.1,,,3.55,0.35,,,15,KRONBERG_1985,0''.17,
41.3+59.6,09 55 50.07,69 40 45.83,2444726.5,15,1981.1,3.16,1.2,3.28,0.38,,,4.87,KRONBERG_1985,0''.34,
41.5+59.0,09 55 50.2,69 40 45.93,2444726.5,15,1981.1,6.85,1.34,7.07,0.44,,,4.87,KRONBERG_1985,0''.34,
41.5+59.0,09 55 50.2,69 40 45.93,2444726.5,15,1981.1,,,2.65,0.28,,,15,KRONBERG_1985,0''.17,
41.95+57.5,09 55 50.69,69 40 43.76,2444726.5,15,1981.1,110.52,2.22,108.54,2.18,,,4.87,KRONBERG_1985,0''.34,
41.95+57.5,09 55 50.69,69 40 43.76,2444726.5,15,1981.1,,,38.03,0.49,,,15,KRONBERG_1985,0''.17,
42.2+59.0,09 55 50.95,69 40 45.2,2444726.5,15,1981.1,2.95,0.67,2.04,0.25,,,4.87,KRONBERG_1985,0''.34,
42.2+59.0,09 55 50.95,69 40 45.2,2444726.5,15,1981.1,,,2.63,0.78,,,15,KRONBERG_1985,0''.17,
42.6+60.0,09 55 51.36,69 40 46.18,2444726.5,15,1981.1,,,1.95,0.42,,,15,KRONBERG_1985,0''.17,
42.7+55.0,09 55 51.40,69 40 41.78,2444726.5,15,1981.1,1.87,0.36,1.75,0.2,,,4.87,KRONBERG_1985,0''.34,
43.2+58.0,09 55 51.92,69 40 44.46,2444726.5,15,1981.1,5.45,0.43,5.18,0.23,,,4.87,KRONBERG_1985,0''.34,
43.3+59.0,09 55 52.04,69 40 45.26,2444726.5,15,1981.1,11.19,0.43,10.92,0.3,,,4.87,KRONBERG_1985,0''.34,
43.3+59.0,09 55 52.04,69 40 45.26,2444726.5,15,1981.1,,,4.3,0.31,,,15,KRONBERG_1985,0''.17,
43.7+62.0,09 55 52.47,69 40 48.64,2444726.5,15,1981.1,3.73,0.69,1.95,0.25,,,4.87,KRONBERG_1985,0''.34,
43.8+61.0,09 55 52.55,69 40 48.04,2444726.5,15,1981.1,1.02,0.4,0.82,0.2,,,4.87,KRONBERG_1985,0''.34,
43.8+62.0,09 55 52.54,69 40 48.94,2444726.5,15,1981.1,3.31,0.5,1.74,0.2,,,4.87,KRONBERG_1985,0''.34,
44.0+59.0,09 55 52.73,69 40 45.63,2444726.5,15,1981.1,24.51,0.53,24.22,0.52,,,4.87,KRONBERG_1985,0''.34,
44.0+59.0,09 55 52.73,69 40 45.63,2444726.5,15,1981.1,,,14.41,0.32,,,15,KRONBERG_1985,0''.17,
44.3+59.0,09 55 53.00,69 40 45.32,2444726.5,15,1981.1,2.94,0.32,2.51,0.21,,,4.87,KRONBERG_1985,0''.34,
44.5+58.0,09 55 53.24,69 40 44.21,2444726.5,15,1981.1,2.47,0.4,2.1,0.2,,,4.87,KRONBERG_1985,0''.34,
44.9+61.0,09 55 53.63,69 40 47.20,2444726.5,15,1981.1,2.04,0.41,1.82,0.2,,,4.87,KRONBERG_1985,0''.34,
45.2+61.0,09 55 53.89,69 40 47.29,2444726.5,15,1981.1,7.96,0.26,7.52,0.25,,,4.87,KRONBERG_1985,0''.34,
45.2+61.0,09 55 53.89,69 40 47.29,2444726.5,15,1981.1,,,4.38,0.41,,,15,KRONBERG_1985,0''.17,
45.3+65.0,09 55 53.97,69 40 51.18,2444726.5,15,1981.1,1.19,0.4,1.29,0.2,,,4.87,KRONBERG_1985,0''.34,
45.4+67.0,09 55 54.15,69 40 53.38,2444726.5,15,1981.1,1.5,0.21,1.49,0.2,,,4.87,KRONBERG_1985,0''.34,
45.7+65.0,09 55 54.45,69 40 51.27,2444726.5,15,1981.1,3.63,0.53,2.55,0.21,,,4.87,KRONBERG_1985,0''.34,
45.9+63.0,09 55 54.62,69 40 49.86,2444726.5,15,1981.1,2.27,0.46,1.96,0.2,,,4.87,KRONBERG_1985,0''.34,
46.2+67.0,09 55 54.88,69 40 53.65,2444726.5,15,1981.1,3.32,0.34,1.74,0.2,,,4.87,KRONBERG_1985,0''.34,
46.5+63.0,09 55 55.22,69 40 49.84,2444726.5,15,1981.1,2.65,0.3,2.27,0.21,,,4.87,KRONBERG_1985,0''.34,
46.7+67.1,09 55 55.41,69 40 53.03,2444726.5,15,1981.1,2.2,0.35,1.52,0.2,,,4.87,KRONBERG_1985,0''.34,
39.1+57.3,09 55 47.88,69 40 43.72,2448818.5,15,1992,3.56,,0.59,,140,,5,MUXLOW_1994,0.2 arcsec,shell
